Series ID,Year,Period,Label,Value
LNU01300002,2005,M01,2005 Jan,58.9
LNU01300002,2005,M02,2005 Feb,59.0
LNU01300002,2005,M03,2005 Mar,58.8
LNU01300002,2005,M04,2005 Apr,59.0
LNU01300002,2005,M05,2005 May,59.2
LNU01300002,2005,M06,2005 Jun,59.3
LNU01300002,2005,M07,2005 Jul,59.6
LNU01300002,2005,M08,2005 Aug,59.3
LNU01300002,2005,M09,2005 Sep,59.5
LNU01300002,2005,M10,2005 Oct,59.7
LNU01300002,2005,M11,2005 Nov,59.5
LNU01300002,2005,M12,2005 Dec,59.3
LNU01300002,2006,M01,2006 Jan,58.9
LNU01300002,2006,M02,2006 Feb,59.1
LNU01300002,2006,M03,2006 Mar,58.9
LNU01300002,2006,M04,2006 Apr,59.0
LNU01300002,2006,M05,2006 May,59.1
LNU01300002,2006,M06,2006 Jun,59.7
LNU01300002,2006,M07,2006 Jul,60.0
LNU01300002,2006,M08,2006 Aug,59.5
LNU01300002,2006,M09,2006 Sep,59.3
LNU01300002,2006,M10,2006 Oct,59.6
LNU01300002,2006,M11,2006 Nov,59.7
LNU01300002,2006,M12,2006 Dec,59.6
LNU01300002,2007,M01,2007 Jan,59.3
LNU01300002,2007,M02,2007 Feb,59.2
LNU01300002,2007,M03,2007 Mar,59.2
LNU01300002,2007,M04,2007 Apr,58.8
LNU01300002,2007,M05,2007 May,58.9
LNU01300002,2007,M06,2007 Jun,59.5
LNU01300002,2007,M07,2007 Jul,59.7
LNU01300002,2007,M08,2007 Aug,59.2
LNU01300002,2007,M09,2007 Sep,59.5
LNU01300002,2007,M10,2007 Oct,59.4
LNU01300002,2007,M11,2007 Nov,59.6
LNU01300002,2007,M12,2007 Dec,59.5
LNU01300002,2008,M01,2008 Jan,59.2
LNU01300002,2008,M02,2008 Feb,59.1
LNU01300002,2008,M03,2008 Mar,59.3
LNU01300002,2008,M04,2008 Apr,59.3
LNU01300002,2008,M05,2008 May,59.4
LNU01300002,2008,M06,2008 Jun,59.8
LNU01300002,2008,M07,2008 Jul,59.8
LNU01300002,2008,M08,2008 Aug,59.7
LNU01300002,2008,M09,2008 Sep,59.4
LNU01300002,2008,M10,2008 Oct,59.7
LNU01300002,2008,M11,2008 Nov,59.6
LNU01300002,2008,M12,2008 Dec,59.5
LNU01300002,2009,M01,2009 Jan,59.2
LNU01300002,2009,M02,2009 Feb,59.3
LNU01300002,2009,M03,2009 Mar,59.3
LNU01300002,2009,M04,2009 Apr,59.3
LNU01300002,2009,M05,2009 May,59.2
LNU01300002,2009,M06,2009 Jun,59.9
LNU01300002,2009,M07,2009 Jul,59.9
LNU01300002,2009,M08,2009 Aug,59.3
LNU01300002,2009,M09,2009 Sep,58.9
LNU01300002,2009,M10,2009 Oct,58.9
LNU01300002,2009,M11,2009 Nov,58.9
LNU01300002,2009,M12,2009 Dec,58.5
LNU01300002,2010,M01,2010 Jan,58.7
LNU01300002,2010,M02,2010 Feb,58.6
LNU01300002,2010,M03,2010 Mar,58.6
LNU01300002,2010,M04,2010 Apr,58.7
LNU01300002,2010,M05,2010 May,58.6
LNU01300002,2010,M06,2010 Jun,58.8
LNU01300002,2010,M07,2010 Jul,58.8
LNU01300002,2010,M08,2010 Aug,58.6
LNU01300002,2010,M09,2010 Sep,58.6
LNU01300002,2010,M10,2010 Oct,58.5
LNU01300002,2010,M11,2010 Nov,58.5
LNU01300002,2010,M12,2010 Dec,58.2
LNU01300002,2011,M01,2011 Jan,58.1
LNU01300002,2011,M02,2011 Feb,58.0
LNU01300002,2011,M03,2011 Mar,58.1
LNU01300002,2011,M04,2011 Apr,58.1
LNU01300002,2011,M05,2011 May,58.0
LNU01300002,2011,M06,2011 Jun,58.2
LNU01300002,2011,M07,2011 Jul,58.3
LNU01300002,2011,M08,2011 Aug,58.1
LNU01300002,2011,M09,2011 Sep,58.3
LNU01300002,2011,M10,2011 Oct,58.3
LNU01300002,2011,M11,2011 Nov,57.9
LNU01300002,2011,M12,2011 Dec,57.7
LNU01300002,2012,M01,2012 Jan,57.5
LNU01300002,2012,M02,2012 Feb,57.8
LNU01300002,2012,M03,2012 Mar,57.7
LNU01300002,2012,M04,2012 Apr,57.5
LNU01300002,2012,M05,2012 May,57.7
LNU01300002,2012,M06,2012 Jun,58.0
LNU01300002,2012,M07,2012 Jul,57.9
LNU01300002,2012,M08,2012 Aug,57.6
LNU01300002,2012,M09,2012 Sep,57.6
LNU01300002,2012,M10,2012 Oct,57.9
LNU01300002,2012,M11,2012 Nov,57.5
LNU01300002,2012,M12,2012 Dec,57.5
LNU01300002,2013,M01,2013 Jan,57.3
LNU01300002,2013,M02,2013 Feb,57.3
LNU01300002,2013,M03,2013 Mar,57.1
LNU01300002,2013,M04,2013 Apr,57.2
LNU01300002,2013,M05,2013 May,57.3
LNU01300002,2013,M06,2013 Jun,57.7
LNU01300002,2013,M07,2013 Jul,57.6
LNU01300002,2013,M08,2013 Aug,57.3
LNU01300002,2013,M09,2013 Sep,57.1
LNU01300002,2013,M10,2013 Oct,57.0
LNU01300002,2013,M11,2013 Nov,57.0
LNU01300002,2013,M12,2013 Dec,56.7
LNU01300002,2014,M01,2014 Jan,56.8
LNU01300002,2014,M02,2014 Feb,57.2
LNU01300002,2014,M03,2014 Mar,57.1
LNU01300002,2014,M04,2014 Apr,56.9
LNU01300002,2014,M05,2014 May,57.1
LNU01300002,2014,M06,2014 Jun,57.1
LNU01300002,2014,M07,2014 Jul,57.2
LNU01300002,2014,M08,2014 Aug,56.8
LNU01300002,2014,M09,2014 Sep,56.8
LNU01300002,2014,M10,2014 Oct,57.2
LNU01300002,2014,M11,2014 Nov,57.1
LNU01300002,2014,M12,2014 Dec,56.5
LNU01300002,2015,M01,2015 Jan,56.7
LNU01300002,2015,M02,2015 Feb,56.6
LNU01300002,2015,M03,2015 Mar,56.5
LNU01300002,2015,M04,2015 Apr,56.6
LNU01300002,2015,M05,2015 May,56.9
LNU01300002,2015,M06,2015 Jun,56.9
LNU01300002,2015,M07,2015 Jul,56.8
LNU01300002,2015,M08,2015 Aug,56.5
LNU01300002,2015,M09,2015 Sep,56.3
LNU01300002,2015,M10,2015 Oct,56.7
LNU01300002,2015,M11,2015 Nov,56.9
LNU01300002,2015,M12,2015 Dec,56.7
LNU01300002,2016,M01,2016 Jan,56.7
LNU01300002,2016,M02,2016 Feb,56.9
LNU01300002,2016,M03,2016 Mar,57.0
LNU01300002,2016,M04,2016 Apr,56.7
LNU01300002,2016,M05,2016 May,56.8
LNU01300002,2016,M06,2016 Jun,56.8
LNU01300002,2016,M07,2016 Jul,56.9
LNU01300002,2016,M08,2016 Aug,56.7
LNU01300002,2016,M09,2016 Sep,56.8
LNU01300002,2016,M10,2016 Oct,56.9
LNU01300002,2016,M11,2016 Nov,56.9
LNU01300002,2016,M12,2016 Dec,56.6
LNU01300002,2017,M01,2017 Jan,56.7
LNU01300002,2017,M02,2017 Feb,57.0
LNU01300002,2017,M03,2017 Mar,57.2
LNU01300002,2017,M04,2017 Apr,57.0
LNU01300002,2017,M05,2017 May,56.9
LNU01300002,2017,M06,2017 Jun,57.2
LNU01300002,2017,M07,2017 Jul,57.4
LNU01300002,2017,M08,2017 Aug,57.0
LNU01300002,2017,M09,2017 Sep,57.2
LNU01300002,2017,M10,2017 Oct,56.9
LNU01300002,2017,M11,2017 Nov,57.1
LNU01300002,2017,M12,2017 Dec,56.7
LNU01300002,2018,M01,2018 Jan,56.5
LNU01300002,2018,M02,2018 Feb,57.0
LNU01300002,2018,M03,2018 Mar,57.0
LNU01300002,2018,M04,2018 Apr,56.7
LNU01300002,2018,M05,2018 May,56.8
LNU01300002,2018,M06,2018 Jun,57.3
LNU01300002,2018,M07,2018 Jul,57.6
LNU01300002,2018,M08,2018 Aug,56.8
LNU01300002,2018,M09,2018 Sep,57.1
LNU01300002,2018,M10,2018 Oct,57.4
LNU01300002,2018,M11,2018 Nov,57.4
LNU01300002,2018,M12,2018 Dec,57.3
LNU01300002,2019,M01,2019 Jan,57.2
LNU01300002,2019,M02,2019 Feb,57.5
LNU01300002,2019,M03,2019 Mar,57.3
LNU01300002,2019,M04,2019 Apr,56.9
LNU01300002,2019,M05,2019 May,57.0
LNU01300002,2019,M06,2019 Jun,57.3
LNU01300002,2019,M07,2019 Jul,57.5
LNU01300002,2019,M08,2019 Aug,57.4
LNU01300002,2019,M09,2019 Sep,57.6
LNU01300002,2019,M10,2019 Oct,58.0
LNU01300002,2019,M11,2019 Nov,57.7
LNU01300002,2019,M12,2019 Dec,57.7
LNU01300002,2020,M01,2020 Jan,57.6
LNU01300002,2020,M02,2020 Feb,57.9
LNU01300002,2020,M03,2020 Mar,57.1
LNU01300002,2020,M04,2020 Apr,54.4
LNU01300002,2020,M05,2020 May,55.1
LNU01300002,2020,M06,2020 Jun,56.2
LNU01300002,2020,M07,2020 Jul,56.3
LNU01300002,2020,M08,2020 Aug,56.0
LNU01300002,2020,M09,2020 Sep,55.7
LNU01300002,2020,M10,2020 Oct,56.1
LNU01300002,2020,M11,2020 Nov,56.0
LNU01300002,2020,M12,2020 Dec,55.9
LNU01300002,2021,M01,2021 Jan,55.5
LNU01300002,2021,M02,2021 Feb,55.9
LNU01300002,2021,M03,2021 Mar,56.2
LNU01300002,2021,M04,2021 Apr,55.8
LNU01300002,2021,M05,2021 May,55.8
LNU01300002,2021,M06,2021 Jun,56.3
LNU01300002,2021,M07,2021 Jul,56.4
LNU01300002,2021,M08,2021 Aug,56.1
LNU01300002,2021,M09,2021 Sep,56.0
LNU01300002,2021,M10,2021 Oct,56.3
LNU01300002,2021,M11,2021 Nov,56.4
LNU01300002,2021,M12,2021 Dec,56.4
LNU01300002,2022,M01,2022 Jan,56.6
LNU01300002,2022,M02,2022 Feb,56.6
LNU01300002,2022,M03,2022 Mar,56.9
LNU01300002,2022,M04,2022 Apr,56.5
LNU01300002,2022,M05,2022 May,56.8
LNU01300002,2022,M06,2022 Jun,57.0
LNU01300002,2022,M07,2022 Jul,57.1
LNU01300002,2022,M08,2022 Aug,57.1
LNU01300002,2022,M09,2022 Sep,56.8
LNU01300002,2022,M10,2022 Oct,56.8
LNU01300002,2022,M11,2022 Nov,56.6
LNU01300002,2022,M12,2022 Dec,56.7
LNU01300002,2023,M01,2023 Jan,56.8
LNU01300002,2023,M02,2023 Feb,57.2
LNU01300002,2023,M03,2023 Mar,57.2
LNU01300002,2023,M04,2023 Apr,57.1
LNU01300002,2023,M05,2023 May,57.2
LNU01300002,2023,M06,2023 Jun,57.5
LNU01300002,2023,M07,2023 Jul,57.7
LNU01300002,2023,M08,2023 Aug,57.6
LNU01300002,2023,M09,2023 Sep,57.5
LNU01300002,2023,M10,2023 Oct,57.8
LNU01300002,2023,M11,2023 Nov,57.5
LNU01300002,2023,M12,2023 Dec,57.0
LNU01300002,2024,M01,2024 Jan,57.2
LNU01300002,2024,M02,2024 Feb,57.6
LNU01300002,2024,M03,2024 Mar,57.6
LNU01300002,2024,M04,2024 Apr,57.5
LNU01300002,2024,M05,2024 May,57.5
LNU01300002,2024,M06,2024 Jun,57.5
LNU01300002,2024,M07,2024 Jul,57.7
LNU01300002,2024,M08,2024 Aug,57.8
LNU01300002,2024,M09,2024 Sep,57.6
LNU01300002,2024,M10,2024 Oct,57.5
LNU01300002,2024,M11,2024 Nov,57.4
LNU01300002,2024,M12,2024 Dec,57.2
LNU01300002,2025,M01,2025 Jan,57.3
LNU01300002,2025,M02,2025 Feb,57.5
LNU01300002,2025,M03,2025 Mar,57.4
LNU01300002,2025,M04,2025 Apr,57.3
LNU01300002,2025,M05,2025 May,57.1
LNU01300002,2025,M06,2025 Jun,57.2
LNU01300002,2025,M07,2025 Jul,57.3
LNU01300002,2025,M08,2025 Aug,56.9
LNU01300002,2025,M09,2025 Sep,57.4
